Method	Test dataset	Level	Label	Precision	Recall	F1	Accuracy
1-Baseline	usa	3	Self-enhancement	0.44	1	0.61	0.44
1-Baseline	usa	3	Conservation	0.78	1	0.87	0.78
1-Baseline	usa	3	Self-transcendence	0.8	1	0.89	0.8
1-Baseline	usa	3	Mean	0.6	1	0.75	0.6
1-Baseline	usa	4a	Personal focus	0.82	1	0.9	0.82
1-Baseline	usa	4a	Social focus	0.88	1	0.94	0.88
1-Baseline	usa	4a	Mean	0.85	1	0.92	0.85
1-Baseline	usa	4b	Growth, Anxiety-free	0.95	1	0.97	0.95
1-Baseline	usa	4b	Self-protection, Anxiety avoidance	0.9	1	0.95	0.9
1-Baseline	usa	4b	Mean	0.92	1	0.96	0.92
1-Baseline	africa	1	Have freedom of thought	0.08	1	0.15	0.08
1-Baseline	africa	1	Be independent	0.08	1	0.15	0.08
1-Baseline	africa	1	Have freedom of action	0.08	1	0.15	0.08
1-Baseline	africa	1	Be ambitious	0.02	1	0.04	0.02
1-Baseline	africa	1	Have success	0.1	1	0.18	0.1
1-Baseline	africa	1	Be capable	0.04	1	0.08	0.04
1-Baseline	africa	1	Be intellectual	0.04	1	0.08	0.04
1-Baseline	africa	1	Be courageous	0.02	1	0.04	0.02
1-Baseline	africa	1	Have influence	0.04	1	0.08	0.04
1-Baseline	africa	1	Have wealth	0.06	1	0.11	0.06
1-Baseline	africa	1	Have social recognition	0.04	1	0.08	0.04
1-Baseline	africa	1	Have a good reputation	0.02	1	0.04	0.02
1-Baseline	africa	1	Have a sense of belonging	0.1	1	0.18	0.1
1-Baseline	africa	1	Have good health	0.08	1	0.15	0.08
1-Baseline	africa	1	Have a comfortable life	0.08	1	0.15	0.08
1-Baseline	africa	1	Have a safe country	0.16	1	0.28	0.16
1-Baseline	africa	1	Have a stable society	0.42	1	0.59	0.42
1-Baseline	africa	1	Be respecting traditions	0.02	1	0.04	0.02
1-Baseline	africa	1	Be compliant	0.04	1	0.08	0.04
1-Baseline	africa	1	Be behaving properly	0.16	1	0.28	0.16
1-Baseline	africa	1	Be humble	0.08	1	0.15	0.08
1-Baseline	africa	1	Have life accepted as is	0.04	1	0.08	0.04
1-Baseline	africa	1	Be helpful	0.06	1	0.11	0.06
1-Baseline	africa	1	Be honest	0.06	1	0.11	0.06
1-Baseline	africa	1	Be loving	0.02	1	0.04	0.02
1-Baseline	africa	1	Be responsible	0.06	1	0.11	0.06
1-Baseline	africa	1	Have equality	0.24	1	0.39	0.24
1-Baseline	africa	1	Be just	0.06	1	0.11	0.06
1-Baseline	africa	1	Have a world at peace	0.26	1	0.41	0.26
1-Baseline	africa	1	Be broadminded	0.1	1	0.18	0.1
1-Baseline	africa	1	Have the wisdom to accept others	0.02	1	0.04	0.02
1-Baseline	africa	1	Be logical	0.02	1	0.04	0.02
1-Baseline	africa	1	Have an objective view	0.1	1	0.18	0.1
1-Baseline	africa	1	Mean	0.08	1	0.16	0.08
1-Baseline	africa	2	Self direction  thought	0.08	1	0.15	0.08
1-Baseline	africa	2	Self direction  action	0.12	1	0.21	0.12
1-Baseline	africa	2	Achievement	0.16	1	0.28	0.16
1-Baseline	africa	2	Power  dominance	0.04	1	0.08	0.04
1-Baseline	africa	2	Power  resources	0.06	1	0.11	0.06
1-Baseline	africa	2	Face	0.04	1	0.08	0.04
1-Baseline	africa	2	Security  personal	0.24	1	0.39	0.24
1-Baseline	africa	2	Security  societal	0.5	1	0.67	0.5
1-Baseline	africa	2	Tradition	0.02	1	0.04	0.02
1-Baseline	africa	2	Conformity  rules	0.18	1	0.31	0.18
1-Baseline	africa	2	Humility	0.1	1	0.18	0.1
1-Baseline	africa	2	Benevolence  caring	0.14	1	0.25	0.14
1-Baseline	africa	2	Benevolence  dependability	0.06	1	0.11	0.06
1-Baseline	africa	2	Universalism  concern	0.52	1	0.68	0.52
1-Baseline	africa	2	Universalism  tolerance	0.12	1	0.21	0.12
1-Baseline	africa	2	Universalism  objectivity	0.12	1	0.21	0.12
1-Baseline	africa	2	Mean	0.16	1	0.27	0.16
1-Baseline	africa	3	Openness to change	0.28	1	0.44	0.28
1-Baseline	africa	3	Self-enhancement	0.22	1	0.36	0.22
1-Baseline	africa	3	Conservation	0.7	1	0.82	0.7
1-Baseline	africa	3	Self-transcendence	0.66	1	0.8	0.66
1-Baseline	africa	3	Mean	0.46	1	0.63	0.46
1-Baseline	africa	4a	Personal focus	0.5	1	0.67	0.5
1-Baseline	africa	4a	Social focus	0.82	1	0.9	0.82
1-Baseline	africa	4a	Mean	0.66	1	0.8	0.66
1-Baseline	africa	4b	Growth, Anxiety-free	0.9	1	0.95	0.9
1-Baseline	africa	4b	Self-protection, Anxiety avoidance	0.8	1	0.89	0.8
1-Baseline	africa	4b	Mean	0.85	1	0.92	0.85
1-Baseline	china	1	Be creative	0.04	1	0.08	0.04
1-Baseline	china	1	Be curious	0.03	1	0.06	0.03
1-Baseline	china	1	Be choosing own goals	0.03	1	0.06	0.03
1-Baseline	china	1	Be independent	0.03	1	0.06	0.03
1-Baseline	china	1	Have freedom of action	0.03	1	0.06	0.03
1-Baseline	china	1	Have privacy	0.04	1	0.08	0.04
1-Baseline	china	1	Have pleasure	0.02	1	0.04	0.02
1-Baseline	china	1	Be ambitious	0.05	1	0.1	0.05
1-Baseline	china	1	Have success	0.16	1	0.28	0.16
1-Baseline	china	1	Be capable	0.2	1	0.33	0.2
1-Baseline	china	1	Be intellectual	0.13	1	0.23	0.13
1-Baseline	china	1	Have influence	0.01	1	0.02	0.01
1-Baseline	china	1	Have wealth	0.19	1	0.32	0.19
1-Baseline	china	1	Have a good reputation	0.01	1	0.02	0.01
1-Baseline	china	1	Have a sense of belonging	0.01	1	0.02	0.01
1-Baseline	china	1	Have good health	0.03	1	0.06	0.03
1-Baseline	china	1	Have no debts	0.02	1	0.04	0.02
1-Baseline	china	1	Have a comfortable life	0.26	1	0.41	0.26
1-Baseline	china	1	Have a safe country	0.03	1	0.06	0.03
1-Baseline	china	1	Have a stable society	0.3	1	0.46	0.3
1-Baseline	china	1	Be compliant	0.07	1	0.13	0.07
1-Baseline	china	1	Be self-disciplined	0.03	1	0.06	0.03
1-Baseline	china	1	Be behaving properly	0.07	1	0.13	0.07
1-Baseline	china	1	Be polite	0.01	1	0.02	0.01
1-Baseline	china	1	Be humble	0.02	1	0.04	0.02
1-Baseline	china	1	Have life accepted as is	0.04	1	0.08	0.04
1-Baseline	china	1	Be helpful	0.03	1	0.06	0.03
1-Baseline	china	1	Be honest	0.01	1	0.02	0.01
1-Baseline	china	1	Have the own family secured	0.09	1	0.17	0.09
1-Baseline	china	1	Be loving	0.02	1	0.04	0.02
1-Baseline	china	1	Be responsible	0.03	1	0.06	0.03
1-Baseline	china	1	Have equality	0.09	1	0.17	0.09
1-Baseline	china	1	Be just	0.18	1	0.31	0.18
1-Baseline	china	1	Be protecting the environment	0.08	1	0.15	0.08
1-Baseline	china	1	Have harmony with nature	0.05	1	0.1	0.05
1-Baseline	china	1	Be broadminded	0.01	1	0.02	0.01
1-Baseline	china	1	Have the wisdom to accept others	0.01	1	0.02	0.01
1-Baseline	china	1	Be logical	0.12	1	0.21	0.12
1-Baseline	china	1	Have an objective view	0.16	1	0.28	0.16
1-Baseline	china	1	Mean	0.07	1	0.13	0.07
1-Baseline	china	2	Self direction  thought	0.06	1	0.11	0.06
1-Baseline	china	2	Self direction  action	0.11	1	0.2	0.11
1-Baseline	china	2	Hedonism	0.02	1	0.04	0.02
1-Baseline	china	2	Achievement	0.39	1	0.56	0.39
1-Baseline	china	2	Power  dominance	0.01	1	0.02	0.01
1-Baseline	china	2	Power  resources	0.19	1	0.32	0.19
1-Baseline	china	2	Face	0.01	1	0.02	0.01
1-Baseline	china	2	Security  personal	0.3	1	0.46	0.3
1-Baseline	china	2	Security  societal	0.31	1	0.47	0.31
1-Baseline	china	2	Conformity  rules	0.15	1	0.26	0.15
1-Baseline	china	2	Conformity  interpersonal	0.01	1	0.02	0.01
1-Baseline	china	2	Humility	0.05	1	0.1	0.05
1-Baseline	china	2	Benevolence  caring	0.12	1	0.21	0.12
1-Baseline	china	2	Benevolence  dependability	0.03	1	0.06	0.03
1-Baseline	china	2	Universalism  concern	0.21	1	0.35	0.21
1-Baseline	china	2	Universalism  nature	0.08	1	0.15	0.08
1-Baseline	china	2	Universalism  tolerance	0.02	1	0.04	0.02
1-Baseline	china	2	Universalism  objectivity	0.26	1	0.41	0.26
1-Baseline	china	2	Mean	0.13	1	0.23	0.13
1-Baseline	china	3	Openness to change	0.43	1	0.6	0.43
1-Baseline	china	3	Self-enhancement	0.48	1	0.65	0.48
1-Baseline	china	3	Conservation	0.61	1	0.76	0.61
1-Baseline	china	3	Self-transcendence	0.4	1	0.57	0.4
1-Baseline	china	3	Mean	0.48	1	0.65	0.48
1-Baseline	china	4a	Personal focus	0.76	1	0.86	0.76
1-Baseline	china	4a	Social focus	0.8	1	0.89	0.8
1-Baseline	china	4a	Mean	0.78	1	0.88	0.78
1-Baseline	china	4b	Growth, Anxiety-free	0.88	1	0.94	0.88
1-Baseline	china	4b	Self-protection, Anxiety avoidance	0.8	1	0.89	0.8
1-Baseline	china	4b	Mean	0.84	1	0.91	0.84
1-Baseline	india	1	Be creative	0.02	1	0.04	0.02
1-Baseline	india	1	Be curious	0.02	1	0.04	0.02
1-Baseline	india	1	Have freedom of thought	0.04	1	0.08	0.04
1-Baseline	india	1	Be choosing own goals	0.04	1	0.08	0.04
1-Baseline	india	1	Have freedom of action	0.03	1	0.06	0.03
1-Baseline	india	1	Have privacy	0.07	1	0.13	0.07
1-Baseline	india	1	Have an exciting life	0.01	1	0.02	0.01
1-Baseline	india	1	Have pleasure	0.01	1	0.02	0.01
1-Baseline	india	1	Be ambitious	0.05	1	0.1	0.05
1-Baseline	india	1	Have success	0.12	1	0.21	0.12
1-Baseline	india	1	Be capable	0.15	1	0.26	0.15
1-Baseline	india	1	Be intellectual	0.02	1	0.04	0.02
1-Baseline	india	1	Have the right to command	0.01	1	0.02	0.01
1-Baseline	india	1	Have wealth	0.03	1	0.06	0.03
1-Baseline	india	1	Have social recognition	0.02	1	0.04	0.02
1-Baseline	india	1	Have a good reputation	0.03	1	0.06	0.03
1-Baseline	india	1	Have a sense of belonging	0.02	1	0.04	0.02
1-Baseline	india	1	Have good health	0.12	1	0.21	0.12
1-Baseline	india	1	Have no debts	0.02	1	0.04	0.02
1-Baseline	india	1	Have a comfortable life	0.19	1	0.32	0.19
1-Baseline	india	1	Have a safe country	0.18	1	0.31	0.18
1-Baseline	india	1	Have a stable society	0.17	1	0.29	0.17
1-Baseline	india	1	Be respecting traditions	0.02	1	0.04	0.02
1-Baseline	india	1	Be holding religious faith	0.05	1	0.1	0.05
1-Baseline	india	1	Be compliant	0.1	1	0.18	0.1
1-Baseline	india	1	Be self-disciplined	0.01	1	0.02	0.01
1-Baseline	india	1	Be behaving properly	0.18	1	0.31	0.18
1-Baseline	india	1	Be polite	0.03	1	0.06	0.03
1-Baseline	india	1	Be humble	0.01	1	0.02	0.01
1-Baseline	india	1	Have life accepted as is	0.04	1	0.08	0.04
1-Baseline	india	1	Be helpful	0.04	1	0.08	0.04
1-Baseline	india	1	Be honest	0.02	1	0.04	0.02
1-Baseline	india	1	Be forgiving	0.01	1	0.02	0.01
1-Baseline	india	1	Have the own family secured	0.03	1	0.06	0.03
1-Baseline	india	1	Be loving	0.04	1	0.08	0.04
1-Baseline	india	1	Be responsible	0.11	1	0.2	0.11
1-Baseline	india	1	Have equality	0.2	1	0.33	0.2
1-Baseline	india	1	Be just	0.16	1	0.28	0.16
1-Baseline	india	1	Have a world at peace	0.04	1	0.08	0.04
1-Baseline	india	1	Be protecting the environment	0.01	1	0.02	0.01
1-Baseline	india	1	Have harmony with nature	0.05	1	0.1	0.05
1-Baseline	india	1	Be broadminded	0.09	1	0.17	0.09
1-Baseline	india	1	Be logical	0.09	1	0.17	0.09
1-Baseline	india	1	Have an objective view	0.1	1	0.18	0.1
1-Baseline	india	1	Mean	0.06	1	0.12	0.06
1-Baseline	india	2	Self direction  thought	0.06	1	0.11	0.06
1-Baseline	india	2	Self direction  action	0.11	1	0.2	0.11
1-Baseline	india	2	Stimulation	0.01	1	0.02	0.01
1-Baseline	india	2	Hedonism	0.01	1	0.02	0.01
1-Baseline	india	2	Achievement	0.22	1	0.36	0.22
1-Baseline	india	2	Power  dominance	0.01	1	0.02	0.01
1-Baseline	india	2	Power  resources	0.03	1	0.06	0.03
1-Baseline	india	2	Face	0.05	1	0.1	0.05
1-Baseline	india	2	Security  personal	0.28	1	0.44	0.28
1-Baseline	india	2	Security  societal	0.28	1	0.44	0.28
1-Baseline	india	2	Tradition	0.06	1	0.11	0.06
1-Baseline	india	2	Conformity  rules	0.24	1	0.39	0.24
1-Baseline	india	2	Conformity  interpersonal	0.03	1	0.06	0.03
1-Baseline	india	2	Humility	0.05	1	0.1	0.05
1-Baseline	india	2	Benevolence  caring	0.12	1	0.21	0.12
1-Baseline	india	2	Benevolence  dependability	0.11	1	0.2	0.11
1-Baseline	india	2	Universalism  concern	0.31	1	0.47	0.31
1-Baseline	india	2	Universalism  nature	0.05	1	0.1	0.05
1-Baseline	india	2	Universalism  tolerance	0.09	1	0.17	0.09
1-Baseline	india	2	Universalism  objectivity	0.17	1	0.29	0.17
1-Baseline	india	2	Mean	0.11	1	0.21	0.11
1-Baseline	india	3	Openness to change	0.33	1	0.5	0.33
1-Baseline	india	3	Self-enhancement	0.26	1	0.41	0.26
1-Baseline	india	3	Conservation	0.7	1	0.82	0.7
1-Baseline	india	3	Self-transcendence	0.49	1	0.66	0.49
1-Baseline	india	3	Mean	0.44	1	0.62	0.44
1-Baseline	india	4a	Personal focus	0.56	1	0.72	0.56
1-Baseline	india	4a	Social focus	0.75	1	0.86	0.75
1-Baseline	india	4a	Mean	0.66	1	0.79	0.66
1-Baseline	india	4b	Growth, Anxiety-free	0.83	1	0.91	0.83
1-Baseline	india	4b	Self-protection, Anxiety avoidance	0.8	1	0.89	0.8
1-Baseline	india	4b	Mean	0.81	1	0.9	0.81
SVM	usa	1	Be creative	0	0	0	0.97
SVM	usa	1	Be curious	0.3	0.32	0.31	0.95
SVM	usa	1	Have freedom of thought	0.4	0.28	0.33	0.84
SVM	usa	1	Be choosing own goals	0.4	0.25	0.3	0.77
SVM	usa	1	Be independent	0.33	0.21	0.26	0.83
SVM	usa	1	Have freedom of action	0.36	0.37	0.37	0.76
SVM	usa	1	Have privacy	0.29	0.29	0.29	0.98
SVM	usa	1	Have an exciting life	0	0	0	0.98
SVM	usa	1	Have a varied life	0	0	0	0.93
SVM	usa	1	Be daring	0	0	0	0.98
SVM	usa	1	Have pleasure	0	0	0	0.95
SVM	usa	1	Be ambitious	0.04	0.03	0.04	0.9
SVM	usa	1	Have success	0.41	0.41	0.41	0.78
SVM	usa	1	Be capable	0.28	0.25	0.27	0.77
SVM	usa	1	Be intellectual	0.59	0.22	0.32	0.86
SVM	usa	1	Be courageous	0	0	0	0.99
SVM	usa	1	Have influence	0.15	0.09	0.11	0.9
SVM	usa	1	Have the right to command	0.12	0.06	0.08	0.91
SVM	usa	1	Have wealth	0.29	0.38	0.33	0.9
SVM	usa	1	Have social recognition	0.21	0.15	0.18	0.94
SVM	usa	1	Have a good reputation	0	0	0	0.97
SVM	usa	1	Have a sense of belonging	0.17	0.23	0.2	0.82
SVM	usa	1	Have good health	0.55	0.47	0.51	0.84
SVM	usa	1	Have no debts	0.68	0.41	0.51	0.94
SVM	usa	1	Have a comfortable life	0.3	0.4	0.34	0.69
SVM	usa	1	Have a safe country	0.13	0.24	0.17	0.83
SVM	usa	1	Have a stable society	0.35	0.42	0.38	0.72
SVM	usa	1	Be respecting traditions	0.18	0.07	0.1	0.86
SVM	usa	1	Be holding religious faith	0.5	0.07	0.12	0.91
SVM	usa	1	Be compliant	0.33	0.41	0.36	0.8
SVM	usa	1	Be self-disciplined	0	0	0	0.95
SVM	usa	1	Be behaving properly	0.13	0.23	0.16	0.76
SVM	usa	1	Be polite	0.17	0.12	0.14	0.98
SVM	usa	1	Be honoring elders	0	0	0	0.99
SVM	usa	1	Be humble	0.33	0.08	0.13	0.97
SVM	usa	1	Have life accepted as is	0.12	0.08	0.1	0.89
SVM	usa	1	Be helpful	0.32	0.44	0.37	0.71
SVM	usa	1	Be honest	0.03	0.05	0.04	0.89
SVM	usa	1	Be forgiving	0.14	0.33	0.2	0.98
SVM	usa	1	Have the own family secured	0.39	0.33	0.36	0.88
SVM	usa	1	Be loving	0.21	0.29	0.24	0.95
SVM	usa	1	Be responsible	0.17	0.37	0.24	0.7
SVM	usa	1	Have loyalty towards friends	0	0	0	0.99
SVM	usa	1	Have equality	0.28	0.37	0.32	0.73
SVM	usa	1	Be just	0.39	0.44	0.41	0.7
SVM	usa	1	Have a world at peace	0	0	0	0.94
SVM	usa	1	Be protecting the environment	0	0	0	0.99
SVM	usa	1	Have harmony with nature	0.57	0.25	0.35	0.94
SVM	usa	1	Have a world of beauty	0	0	0	0.98
SVM	usa	1	Be broadminded	0.15	0.16	0.16	0.77
SVM	usa	1	Have the wisdom to accept others	0	0	0	0.84
SVM	usa	1	Be logical	0.22	0.13	0.16	0.85
SVM	usa	1	Have an objective view	0.16	0.16	0.16	0.75
SVM	usa	1	Mean	0.21	0.19	0.2	0.88
SVM	usa	2	Self direction  thought	0.34	0.34	0.34	0.76
SVM	usa	2	Self direction  action	0.47	0.4	0.43	0.67
SVM	usa	2	Stimulation	0.14	0.14	0.14	0.9
SVM	usa	2	Hedonism	0	0	0	0.95
SVM	usa	2	Achievement	0.5	0.55	0.52	0.67
SVM	usa	2	Power  dominance	0.21	0.15	0.17	0.83
SVM	usa	2	Power  resources	0.29	0.38	0.33	0.9
SVM	usa	2	Face	0.12	0.12	0.12	0.91
SVM	usa	2	Security  personal	0.54	0.6	0.57	0.59
SVM	usa	2	Security  societal	0.38	0.39	0.39	0.69
SVM	usa	2	Tradition	0.31	0.18	0.23	0.8
SVM	usa	2	Conformity  rules	0.32	0.45	0.37	0.69
SVM	usa	2	Conformity  interpersonal	0.25	0.09	0.13	0.97
SVM	usa	2	Humility	0.14	0.09	0.11	0.87
SVM	usa	2	Benevolence  caring	0.44	0.55	0.49	0.63
SVM	usa	2	Benevolence  dependability	0.17	0.33	0.22	0.7
SVM	usa	2	Universalism  concern	0.48	0.53	0.5	0.62
SVM	usa	2	Universalism  nature	0.53	0.24	0.33	0.94
SVM	usa	2	Universalism  tolerance	0.19	0.28	0.23	0.69
SVM	usa	2	Universalism  objectivity	0.26	0.28	0.27	0.69
SVM	usa	2	Mean	0.3	0.3	0.3	0.77
SVM	usa	3	Openness to change	0.53	0.53	0.53	0.62
SVM	usa	3	Self-enhancement	0.5	0.51	0.51	0.56
SVM	usa	3	Conservation	0.8	0.8	0.8	0.69
SVM	usa	3	Self-transcendence	0.81	0.86	0.84	0.73
SVM	usa	3	Mean	0.66	0.68	0.67	0.65
SVM	usa	4a	Personal focus	0.86	0.85	0.85	0.76
SVM	usa	4a	Social focus	0.9	0.93	0.91	0.84
SVM	usa	4a	Mean	0.88	0.89	0.88	0.8
SVM	usa	4b	Growth, Anxiety-free	0.94	0.97	0.96	0.92
SVM	usa	4b	Self-protection, Anxiety avoidance	0.92	0.84	0.88	0.79
SVM	usa	4b	Mean	0.93	0.9	0.92	0.85
SVM	africa	1	Have freedom of thought	0.5	0.5	0.5	0.92
SVM	africa	1	Be independent	0	0	0	0.82
SVM	africa	1	Have freedom of action	0.5	0.5	0.5	0.92
SVM	africa	1	Be ambitious	0	0	0	0.98
SVM	africa	1	Have success	0.67	0.4	0.5	0.92
SVM	africa	1	Be capable	0	0	0	0.84
SVM	africa	1	Be intellectual	0.5	0.5	0.5	0.96
SVM	africa	1	Be courageous	0	0	0	0.98
SVM	africa	1	Have influence	0	0	0	0.88
SVM	africa	1	Have wealth	0.25	0.33	0.29	0.9
SVM	africa	1	Have social recognition	0	0	0	0.92
SVM	africa	1	Have a good reputation	0	0	0	0.96
SVM	africa	1	Have a sense of belonging	0	0	0	0.82
SVM	africa	1	Have good health	1	0.25	0.4	0.94
SVM	africa	1	Have a comfortable life	0.23	0.75	0.35	0.78
SVM	africa	1	Have a safe country	0.33	0.62	0.43	0.74
SVM	africa	1	Have a stable society	0.55	0.57	0.56	0.62
SVM	africa	1	Be respecting traditions	0.14	1	0.25	0.88
SVM	africa	1	Be compliant	0	0	0	0.72
SVM	africa	1	Be behaving properly	0.36	0.5	0.42	0.78
SVM	africa	1	Be humble	0	0	0	0.92
SVM	africa	1	Have life accepted as is	0	0	0	0.92
SVM	africa	1	Be helpful	0.14	0.33	0.2	0.84
SVM	africa	1	Be honest	0	0	0	0.94
SVM	africa	1	Be loving	0	0	0	0.98
SVM	africa	1	Be responsible	0.09	0.33	0.14	0.76
SVM	africa	1	Have equality	0.33	0.42	0.37	0.66
SVM	africa	1	Be just	0	0	0	0.54
SVM	africa	1	Have a world at peace	0.57	0.31	0.4	0.76
SVM	africa	1	Be broadminded	0	0	0	0.8
SVM	africa	1	Have the wisdom to accept others	0	0	0	0.96
SVM	africa	1	Be logical	0	0	0	0.88
SVM	africa	1	Have an objective view	0.22	0.4	0.29	0.8
SVM	africa	1	Mean	0.19	0.23	0.21	0.85
SVM	africa	2	Self direction  thought	0.4	0.5	0.44	0.9
SVM	africa	2	Self direction  action	0.2	0.33	0.25	0.76
SVM	africa	2	Achievement	0.21	0.38	0.27	0.68
SVM	africa	2	Power  dominance	0	0	0	0.74
SVM	africa	2	Power  resources	0.25	0.33	0.29	0.9
SVM	africa	2	Face	0.25	0.5	0.33	0.92
SVM	africa	2	Security  personal	0.32	0.67	0.43	0.58
SVM	africa	2	Security  societal	0.63	0.68	0.65	0.64
SVM	africa	2	Tradition	0.1	1	0.18	0.82
SVM	africa	2	Conformity  rules	0.26	0.56	0.36	0.64
SVM	africa	2	Humility	0	0	0	0.86
SVM	africa	2	Benevolence  caring	0.1	0.14	0.12	0.7
SVM	africa	2	Benevolence  dependability	0.08	0.33	0.12	0.72
SVM	africa	2	Universalism  concern	0.54	0.5	0.52	0.52
SVM	africa	2	Universalism  tolerance	0.11	0.17	0.13	0.74
SVM	africa	2	Universalism  objectivity	0.19	0.5	0.27	0.68
SVM	africa	2	Mean	0.23	0.41	0.29	0.74
SVM	africa	3	Openness to change	0.27	0.21	0.24	0.62
SVM	africa	3	Self-enhancement	0.25	0.55	0.34	0.54
SVM	africa	3	Conservation	0.68	0.86	0.76	0.62
SVM	africa	3	Self-transcendence	0.72	0.85	0.78	0.68
SVM	africa	3	Mean	0.48	0.62	0.54	0.62
SVM	africa	4a	Personal focus	0.56	0.96	0.71	0.6
