Argument ID	Openness to change	Self-enhancement	Conservation	Self-transcendence
A07088	1	0	0	1
A07089	1	1	0	0
A07090	1	0	1	1
A07092	1	0	1	0
A07093	0	0	1	1
A07094	1	1	0	0
A07096	1	0	1	0
A07097	1	1	1	1
A07098	1	1	0	1
A07099	0	0	1	1
A07100	0	0	1	1
A08001	0	0	1	0
A08002	0	1	0	1
A08003	1	0	1	1
A08004	0	1	1	1
A08005	1	0	0	1
A08007	1	0	0	0
A08008	0	0	1	0
A08009	0	0	1	1
A08011	0	0	0	1
A08012	0	0	1	0
A08013	0	0	1	1
A08014	0	0	1	1
A08016	0	0	1	0
A08018	0	0	1	1
A08019	1	0	0	1
A08020	0	0	0	1
A09001	0	1	1	0
A09002	1	1	0	0
A09003	1	1	0	1
A09004	1	0	1	0
A09005	1	0	1	1
A09006	0	1	1	1
A09007	1	1	1	1
A09008	1	1	1	0
A09009	0	0	1	1
A09011	0	0	1	1
A09012	0	0	1	1
A09013	1	1	0	1
A09015	1	0	1	1
A09016	1	0	0	1
A09017	1	0	1	1
A09019	0	0	1	1
A09020	0	0	1	1
A09021	1	1	0	1
A09022	0	0	1	1
A09023	0	0	1	1
A09024	0	1	1	0
A09026	1	1	1	1
A09027	1	1	1	0
A09028	0	0	1	1
A09029	0	0	1	1
A09030	0	1	0	1
A09031	1	1	1	0
A09032	1	0	0	1
A09035	0	1	1	1
A09036	0	1	1	1
A09037	1	1	1	1
A09038	0	0	1	1
A09040	0	0	1	1
A09041	0	0	0	1
A09042	1	0	1	1
A09043	0	1	0	1
A09044	0	0	1	1
A09045	0	1	0	1
A09046	1	1	1	1
A09047	1	0	0	1
A09048	1	1	1	1
A09049	1	0	1	1
A09050	0	0	1	1
A09051	0	0	0	1
A09052	1	1	1	0
A09053	1	1	1	1
A09054	1	1	1	1
A09055	1	1	1	1
A09056	0	1	1	1
A09057	0	1	1	1
A09058	0	0	1	1
A09059	1	1	0	1
A09060	1	1	1	1
A09063	0	0	1	0
A09064	0	1	1	0
A09065	1	1	1	0
A09066	0	1	1	0
A09067	0	0	1	1
A09068	1	0	0	0
A09070	1	1	1	1
A09071	0	1	0	1
A09072	1	0	0	1
A09073	1	1	0	1
A09074	0	0	1	1
A09075	1	1	1	1
A09076	1	1	1	1
A09078	0	0	1	1
A09079	1	1	0	1
A09080	1	1	1	1
A09082	1	0	1	1
A09083	0	0	1	1
A09084	0	1	1	1
A09085	0	0	1	1
A09086	1	0	0	1
A09087	0	0	1	1
A09089	0	0	1	1
A09090	0	0	0	1
A09091	1	0	0	1
A09092	1	0	0	1
A09093	1	1	1	1
A09094	1	0	1	1
A09095	0	1	0	1
A09096	0	0	1	1
A09097	1	1	1	1
A10001	0	0	0	1
A10002	0	0	1	1
A10003	0	1	1	1
A10004	1	0	0	1
A10005	0	0	1	0
A10006	0	0	0	1
A10007	1	0	1	0
A10008	0	0	1	1
A10009	0	0	1	1
A10010	0	0	0	1
A10012	0	0	0	1
A10013	0	1	0	1
A10014	0	0	1	1
A10015	0	0	1	0
A10017	0	1	0	0
A10018	0	1	1	0
A10019	0	1	1	0
A10020	0	0	1	0
A12002	1	0	1	1
A12004	1	1	1	1
A12005	0	0	1	1
A12006	1	0	1	0
A12007	0	0	1	1
A12008	0	0	1	1
A12009	1	0	1	1
A12010	1	1	1	1
A12011	0	1	1	1
A12013	0	0	1	1
A12014	1	0	1	0
A12015	1	0	1	0
A12016	0	1	0	1
A12017	0	0	1	1
A12019	1	1	0	0
A12020	0	1	0	1
A12021	0	0	1	1
A12024	1	0	1	1
A12025	0	0	1	1
A12026	1	1	0	1
A12027	1	1	1	0
A12028	1	1	1	1
A12029	0	0	1	1
A12030	0	1	0	0
A12031	0	0	1	1
A12032	1	0	0	1
A12033	0	0	0	1
A12034	0	0	1	1
A12035	0	1	1	1
A12036	0	1	0	1
A12037	0	0	0	1
A12038	0	0	0	1
A12039	0	1	1	1
A12041	1	1	0	1
A12042	1	0	0	1
A12043	1	1	0	0
A12045	1	1	0	1
A12046	0	1	0	1
A12047	0	0	1	1
A12048	0	0	1	1
A12049	0	1	1	0
A12050	0	0	0	1
A12051	0	0	1	1
A12053	0	1	1	1
A12054	1	0	0	1
A12055	1	0	1	1
A12056	0	0	1	1
A12057	0	0	1	1
A12058	1	1	1	0
A12059	1	0	1	1
A12060	1	1	0	0
A12062	1	0	1	1
A12063	0	1	1	0
A12064	1	1	1	1
A12065	0	0	1	1
A12066	1	1	0	1
A12067	0	0	0	1
A12070	0	0	1	1
A12071	0	0	0	1
A12072	1	1	0	0
A12073	0	0	0	1
A12074	1	0	1	1
A12075	1	1	0	0
A12076	0	0	1	1
A12078	0	1	0	1
A12080	1	0	1	0
A12081	0	1	1	1
A12082	1	1	0	0
A12083	1	0	1	0
A12084	0	1	1	1
A12086	0	0	1	1
A12087	1	0	1	1
A12088	0	0	1	1
A12089	0	0	0	1
A12091	1	0	1	1
A12092	1	1	1	1
A12093	0	0	1	1
A12094	1	1	0	0
A12095	1	1	0	1
A12096	1	0	0	1
A12097	1	1	1	1
A12098	0	1	1	1
A12099	1	1	0	0
A12100	0	0	1	1
A12101	0	0	0	1
A12102	0	0	1	1
A12103	0	0	1	1
A12104	1	1	0	1
A12105	0	1	1	1
A12106	1	1	0	1
A12107	0	1	1	1
A12109	1	1	1	0
A12110	0	0	1	1
A12111	0	1	0	1
A12112	1	1	1	1
A12113	1	0	1	1
A12114	0	0	1	1
A12116	0	0	1	1
A12117	0	1	1	0
A12118	0	0	1	1
A12119	0	0	1	0
A12120	0	0	0	1
A12122	0	1	1	1
A12123	0	0	1	1
A12124	0	1	1	1
A12125	0	1	1	1
A12126	0	0	0	1
A12127	1	0	0	1
A12128	1	1	0	1
A12129	0	0	1	1
A12130	0	0	1	1
A12131	0	1	1	0
A12132	1	1	1	1
A12133	1	0	1	1
A12134	0	0	0	1
A12135	0	0	0	1
A12136	0	0	1	1
A12137	0	0	1	1
A12139	0	1	0	1
A12140	1	1	1	1
A12141	0	0	1	1
A12142	0	0	1	1
A12144	1	0	0	0
A12146	1	0	1	1
A12147	0	0	1	1
A12148	1	1	1	0
A12153	0	1	0	1
A12155	0	0	0	1
A12156	1	0	1	1
A12157	0	0	1	1
A12158	0	0	1	1
A12159	0	0	0	1
A12160	0	0	1	1
A12161	0	0	1	1
A12162	0	0	1	0
A12163	0	1	1	0
A12164	0	0	1	0
A12165	0	0	1	1
A12166	0	1	0	1
A12167	1	1	1	1
A12168	1	1	0	1
A12170	0	0	1	1
A12171	0	0	1	1
A12173	0	1	0	1
A12174	0	0	0	1
A12175	0	1	1	1
A12176	1	1	0	1
A12177	0	0	1	0
A12178	0	1	0	0
A12179	1	1	1	0
A12180	1	0	0	1
A12181	1	1	1	1
A12182	1	1	0	1
A12184	0	1	1	1
A12185	0	0	1	1
A12187	0	0	1	0
A12188	0	0	0	1
A12190	0	0	1	1
A12191	0	1	1	1
A12192	1	1	1	1
A12193	0	0	1	1
A12194	0	1	1	1
A12195	0	0	1	1
A12197	1	1	0	1
A12198	1	0	0	1
A12201	0	1	1	1
A12202	1	1	1	1
A12204	0	0	1	0
A12205	0	0	0	1
A12206	0	0	1	0
A12208	0	1	1	0
A12209	0	0	1	1
A12210	0	1	1	0
A12211	0	0	1	1
A12212	0	0	1	1
A12214	1	1	1	1
A12215	0	0	0	1
A12217	0	0	0	1
A12218	0	0	1	0
A12219	0	0	1	0
A12220	1	1	0	0
A12221	0	1	1	1
A12222	0	0	1	1
A12223	0	0	1	1
A12224	0	1	0	1
A12225	0	0	1	1
A12226	1	1	0	1
A12228	0	1	1	0
A12229	0	1	1	0
A12230	0	0	1	1
A12231	0	0	1	1
A12232	1	1	0	1
A12236	1	0	0	0
A12237	1	0	0	1
A12238	0	1	0	0
A12239	0	1	1	1
A12240	0	1	1	1
A12241	1	1	1	1
A12243	1	0	0	1
A12244	1	0	1	1
A12246	1	0	0	1
A12247	0	1	1	1
A12248	0	1	1	1
A12249	0	1	1	1
A12251	0	1	1	0
A12252	0	0	1	0
A12253	0	0	1	1
A12254	1	0	0	0
A12255	0	1	0	1
A12256	1	0	0	1
A12257	0	0	1	1
A12258	0	1	1	1
A12259	0	1	0	1
A12260	0	1	1	1
A12261	1	1	0	1
A12262	1	0	0	1
A12263	0	0	1	1
A12265	0	0	1	0
A12266	0	0	1	1
A12267	1	0	1	1
A12268	0	1	1	1
A12269	0	0	0	1
A12270	0	0	1	1
A12271	0	0	1	0
A12273	1	1	0	1
A12274	1	1	1	1
A12275	0	0	0	1
A12276	0	0	1	0
A12277	1	1	0	1
A12278	0	0	0	1
A12279	0	0	1	0
A12280	1	1	0	0
A12281	1	1	1	1
A12282	1	0	1	0
A12283	0	1	1	0
A12284	0	0	1	1
A12286	0	1	0	1
A12287	0	1	0	1
A12288	1	1	0	0
A12289	0	0	1	1
A12290	0	0	1	0
A12292	1	1	1	0
A12293	0	1	0	1
A12295	1	0	1	0
A12296	0	1	0	1
A12297	0	0	1	1
A12298	0	0	1	1
A12299	0	0	1	1
A12300	0	1	1	1
A12301	0	0	1	1
A12302	0	0	0	1
A12303	0	1	1	1
A12304	1	1	1	1
A12305	1	1	0	1
A12306	0	0	1	1
A12307	0	0	1	1
A12308	0	0	1	0
A12309	1	0	0	1
A12310	1	0	1	0
A12311	1	0	1	1
A12313	1	0	1	1
A12315	0	0	1	1
A12316	0	0	1	1
A12317	0	1	1	1
A12318	0	1	1	1
A12319	0	1	1	1
A12320	0	1	0	1
A12321	0	1	0	1
A12322	1	0	1	1
A12323	0	1	1	1
A12324	0	1	1	1
A12325	1	1	1	0
A12326	1	0	0	1
A12327	1	0	1	1
A12328	1	0	1	0
A12329	0	0	1	1
A12330	1	0	1	0
A12332	1	1	0	1
A12333	0	0	1	1
A12334	0	1	1	0
A12335	0	0	1	1
A12336	1	0	1	0
A12337	0	0	1	1
A12338	0	0	1	1
A12340	0	0	1	1
A12341	0	0	0	1
A12343	0	0	1	1
A12344	0	0	0	1
A12345	0	0	0	1
A12347	1	1	0	1
A12348	1	0	0	1
A12349	1	0	1	1
A12351	1	1	1	0
A12352	0	1	1	1
A12353	0	0	1	1
A12354	0	0	1	1
A12355	1	1	0	1
A12356	0	0	1	0
A12357	0	1	1	0
A12358	0	1	0	1
A12359	1	1	1	1
A12360	0	1	1	1
A12363	1	0	0	1
A12364	1	0	1	0
A12365	0	1	1	1
A12366	0	0	1	1
A12367	0	0	1	1
A12368	0	1	1	1
A12369	0	1	0	1
A12370	1	1	1	1
A12372	0	0	1	0
A12374	0	0	1	0
A12376	0	0	1	1
A12377	0	0	1	1
A12379	0	0	0	1
A12380	0	0	1	1
A12381	1	1	1	0
A12385	1	1	1	1
A12386	0	1	1	1
A12387	1	0	1	1
A12388	0	0	1	1
A12389	1	1	1	1
A12390	0	0	1	0
A12391	0	1	1	1
A12392	0	1	1	1
A12393	0	1	1	1
A12394	0	1	1	1
A12396	1	0	1	1
A12397	0	0	0	1
A12398	0	1	1	1
A12400	0	0	1	1
A12402	1	1	1	1
A12403	1	0	1	1
A12404	1	1	1	0
A12405	1	0	1	1
A12406	1	0	1	1
A12407	0	1	0	1
A12408	1	0	0	1
A12409	0	0	0	1
A12410	0	1	1	1
A12411	0	1	1	1
A12412	0	1	1	1
A12413	0	0	1	1
A12414	0	0	1	1
A12415	1	0	0	1
A12416	0	0	1	1
A12417	0	1	0	0
A12418	0	0	1	0
A12419	0	0	0	1
A12420	1	0	1	1
A12421	0	0	1	1
A12422	0	0	1	1
A12423	1	0	1	1
A12424	0	1	1	1
A12425	1	0	1	0
A12426	0	0	1	1
A12427	0	0	1	1
A12428	0	0	1	1
A12429	0	0	1	0
A12431	0	0	1	1
A12432	0	0	1	1
A12433	1	1	1	1
A12434	0	0	1	1
A12435	0	0	0	1
A12436	0	0	1	1
A12437	1	1	1	1
A12438	0	1	1	1
A12439	0	0	1	1
A12440	1	1	1	1
A12441	0	1	1	0
A12442	1	1	0	1
A12443	0	0	1	1
A12444	0	0	1	1
A12445	0	1	0	1
A12446	0	0	1	0
A12447	0	0	1	1
A12448	0	1	0	0
A12450	0	0	0	1
A12451	0	1	0	1
A12452	0	0	0	1
A12453	1	1	0	1
A12454	1	1	0	0
A12456	0	1	1	0
A12457	1	1	0	0
A12458	0	0	1	1
A12459	0	0	0	1
A12460	0	0	1	1
A12461	0	1	0	0
A12462	0	0	0	1
A12464	0	0	0	1
A12465	0	0	0	1
A12466	0	0	1	1
A12467	0	0	1	0
A12468	0	1	1	1
A12469	1	1	1	0
A12470	0	1	1	0
A12472	0	0	1	0
A12473	1	0	0	1
A12474	1	1	1	1
A12475	0	1	1	1
A12476	0	0	1	1
A12477	0	0	1	1
A12478	1	1	1	0
A12479	1	1	0	0
A12481	0	0	1	1
A12484	1	1	1	1
A12485	0	0	1	1
A12487	0	0	1	1
A12488	1	1	0	1
A12489	0	0	1	0
A12490	0	0	1	0
A12491	1	0	0	1
A12492	0	0	1	1
A12494	1	0	0	1
A12496	0	0	1	1
A12497	0	0	1	1
A12498	1	1	0	1
A12499	1	0	0	0
A12500	1	1	1	1
A13001	0	0	1	1
A13002	0	0	1	0
A13003	1	1	0	0
A13004	1	0	1	0
A13005	0	0	0	1
A13006	1	1	0	0
A13007	0	1	0	1
A13008	0	0	1	0
A13009	0	0	0	1
A13011	0	0	1	0
A13012	0	1	0	0
A13013	0	0	1	1
A13014	0	0	1	1
A13017	0	0	1	1
A13018	0	0	1	0
A13019	0	0	0	1
A13020	1	1	0	0
A14001	0	0	0	1
A14002	1	0	0	1
A14003	1	0	1	0
A14005	0	1	0	1
A14006	1	1	0	1
A14007	0	1	1	1
A14008	1	0	1	1
A14010	1	0	0	1
A14011	0	0	1	0
A14013	0	0	0	1
A14014	1	0	0	1
A14015	0	0	0	1
A14017	0	1	0	0
A14018	1	1	1	1
A14019	0	0	0	1
A14020	0	1	0	1
A15001	1	0	0	0
A15002	0	1	0	0
A15003	1	1	1	0
A15004	1	1	0	1
A15006	0	1	0	1
A15007	0	1	0	1
A15008	1	1	0	1
A15009	1	0	0	1
A15010	1	1	0	0
A15011	0	0	1	1
A15013	1	0	0	1
A15014	0	0	1	0
A15015	0	0	0	1
A15017	0	1	1	0
A15019	0	1	0	0
A15020	0	1	1	0
A17002	0	1	1	1
A17003	1	1	1	1
A17004	1	1	0	1
A17006	1	0	0	1
A17007	0	0	1	0
A17008	1	1	1	1
A17009	1	0	0	0
A17011	0	1	1	0
A17013	1	0	1	0
A17014	1	1	0	1
A17015	0	0	1	1
A17016	1	0	1	0
A17017	1	0	0	1
A17018	0	0	0	1
A17019	1	0	1	0
A18001	1	0	1	1
A18002	0	0	1	1
A18003	1	0	1	1
A18004	0	0	1	1
A18005	1	0	0	1
A18006	0	1	1	0
A18007	1	1	0	0
A18008	0	0	1	1
A18009	0	1	0	1
A18010	0	0	0	1
A18011	1	1	1	0
A18012	1	0	1	1
A18013	0	0	1	1
A18014	0	1	1	1
A18015	1	0	1	1
A18016	0	0	1	1
A18017	0	1	1	1
A18018	1	1	1	1
A18019	0	1	0	1
A18020	0	0	1	1
A18021	0	1	1	1
A18022	1	1	0	0
A18023	1	0	1	0
A18024	1	0	0	1
A18025	0	1	1	1
A18026	1	1	0	0
A18027	0	1	1	1
A18028	0	1	1	1
A18029	0	1	1	1
A18030	0	0	1	1
A18032	0	1	1	1
A18033	0	0	0	1
A18034	1	0	0	0
A18036	0	1	1	1
A18037	0	0	1	1
A18039	0	1	1	1
A18040	1	0	1	1
A18041	0	0	0	1
A18042	1	1	1	0
A18043	1	0	0	0
A18044	1	0	0	1
A18045	0	1	1	0
A18046	0	1	1	1
A18047	0	0	0	1
A18049	0	0	1	1
A18050	0	0	1	0
A18051	0	1	1	1
A18052	0	1	0	1
A18053	0	1	1	0
A18054	0	0	1	0
A18056	1	0	1	1
A18057	0	0	0	1
A18058	0	0	1	1
A18059	0	0	1	1
A18060	1	1	1	0
A18061	1	0	1	0
A18062	1	1	1	1
A18064	0	0	1	1
A18065	0	0	1	1
A18066	0	0	1	1
A18067	1	1	1	0
A18069	0	0	1	1
A18070	1	1	1	0
A18071	0	0	1	1
A18072	1	1	0	1
A18073	0	0	0	1
A18074	0	0	1	0
A18075	1	0	1	0
A18076	1	0	0	1
A18077	0	0	1	1
A18078	0	0	1	1
A18079	0	0	1	1
A18080	0	0	1	0
A18081	0	1	1	1
A18082	0	0	1	0
A18083	0	1	1	1
A18085	0	1	1	1
A18086	1	1	1	1
A18087	0	1	0	1
A18088	0	0	1	1
A18089	0	1	1	1
A18090	0	1	0	1
A18091	0	1	1	1
A18092	0	0	1	1
A18093	1	0	1	1
A18094	1	1	1	1
A18095	1	0	0	0
A18096	0	1	1	1
A18097	0	0	1	1
A18098	0	0	1	1
A18099	1	1	1	0
A18101	1	1	1	1
A18102	0	0	1	1
A18103	0	0	0	1
A18104	1	0	1	1
A18105	0	1	1	1
A18106	1	1	1	1
A18107	1	0	1	1
A18108	0	1	1	1
A18109	1	1	1	0
A18110	0	1	0	1
A18111	0	0	1	1
A18112	0	0	1	1
A18113	0	1	1	1
A18116	0	0	0	1
A18117	1	0	0	0
A18118	0	0	0	1
A18120	0	0	0	1
A18122	1	0	0	1
A18124	1	1	1	1
A18125	1	1	0	1
A18126	0	0	1	1
A18127	0	1	1	1
A18128	0	1	1	1
A18129	0	0	1	1
A18130	0	0	1	1
A18131	0	1	1	1
A18132	1	0	1	1
A18133	1	0	1	1
A18134	0	0	1	1
A18135	0	1	1	1
A18136	1	1	0	0
A18137	1	1	1	1
A18138	0	1	1	1
A18139	0	1	1	1
A18140	1	0	1	1
A18141	1	1	1	0
A18142	0	0	1	1
A18143	0	1	1	1
A18144	1	1	1	1
A18146	0	1	1	0
A18147	1	1	1	1
A18148	1	0	1	0
A18149	0	0	0	1
A18150	0	1	1	1
A18151	1	0	0	1
A18152	0	1	0	1
A18153	0	0	0	1
A18155	1	1	1	1
A18156	0	1	0	1
A18157	0	0	1	0
A18160	1	1	1	1
A18162	1	1	0	1
A18163	0	0	1	1
A18164	0	1	1	1
A18165	1	1	0	1
A18166	0	1	1	1
A18167	0	0	0	1
A18168	1	1	0	0
A18169	1	0	1	1
A18170	0	1	1	1
A18171	0	0	1	1
A18172	1	0	1	1
A18173	1	0	1	0
A18174	0	0	1	1
A18175	1	1	1	1
A18176	0	1	1	1
A18177	0	0	1	0
A18178	0	0	1	0
A18179	0	1	0	1
A18180	0	0	0	1
A18181	0	0	1	1
A18182	1	1	0	1
A18184	1	0	1	1
A18185	0	0	1	1
A18187	0	0	1	1
A18188	0	1	1	1
A18189	0	0	0	1
A18190	0	0	0	1
A18191	0	0	1	1
A18192	0	1	1	1
A18194	0	1	1	1
A18195	0	0	0	1
A18196	1	1	0	1
A18197	1	1	1	1
A18198	0	1	1	1
A18200	0	0	1	1
A18201	0	1	1	1
A18202	1	1	0	1
A18204	0	0	0	1
A18205	0	0	1	0
A18207	1	1	1	0
A18208	0	0	1	1
A18210	1	0	1	0
A18211	0	1	1	1
A18212	1	0	1	1
A18214	0	1	1	1
A18216	1	1	0	0
A18217	0	1	1	1
A18218	0	0	1	1
A18219	1	1	1	0
A18220	1	0	0	1
A18221	0	0	1	1
A18222	1	1	0	1
A18223	1	1	0	1
A18224	0	1	1	1
A18225	0	0	0	1
A18226	0	1	1	1
A18229	1	1	1	0
A18230	0	0	1	1
A18232	0	0	1	1
A18233	0	1	0	1
A18234	0	0	1	1
A18235	1	0	1	1
A18236	0	0	1	1
A18237	1	0	0	1
A18238	0	1	0	1
A18239	0	1	1	0
A18240	1	0	1	0
A18241	1	1	1	1
A18242	0	0	1	1
A18243	0	0	1	1
A18245	1	1	1	1
A18246	0	1	0	1
A18247	1	0	0	1
A18248	0	1	1	1
A18249	0	1	1	1
A18250	0	0	1	1
A18251	0	0	1	1
A18252	0	0	1	1
A18255	0	0	0	1
A18257	1	0	1	1
A18259	1	1	1	1
A18260	0	1	1	1
A18262	1	0	1	1
A18265	0	0	1	1
A18266	1	0	1	1
A18267	1	1	1	0
A18268	0	0	1	1
A18269	1	0	0	1
A18270	1	1	0	1
A18272	1	1	1	1
A18273	0	1	1	1
A18274	0	1	1	1
A18276	0	0	0	1
A18277	0	1	1	1
A18278	0	0	1	0
A18279	0	0	1	0
A18280	0	1	1	0
A18281	1	1	1	1
A18282	0	1	1	0
A18284	1	1	1	1
A18285	0	1	0	1
A18286	1	0	1	0
A18287	1	0	1	1
A18288	0	0	1	1
A18289	0	1	1	1
A18290	0	0	1	1
A18291	0	1	1	1
A18292	0	1	1	1
A18293	0	0	1	1
A18294	0	1	1	1
A18295	0	0	1	1
A18296	1	1	1	1
A18297	0	1	1	0
A18298	1	0	1	0
A18299	1	0	1	1
A18300	1	0	0	1
A18301	0	1	0	1
A18302	0	1	0	1
A18304	0	1	1	1
A18305	0	0	1	1
A18306	1	0	0	0
A18308	0	1	0	1
A18309	1	1	1	1
A18310	0	0	1	1
A18311	0	0	1	1
A18313	1	0	0	1
A18314	0	1	0	1
A18315	0	0	1	1
A18316	0	0	1	1
A18317	1	0	0	1
A18318	1	1	1	1
A18320	0	0	1	1
A18321	0	0	1	1
A18322	1	0	1	1
A18324	1	1	0	1
A18325	1	1	0	0
A18326	1	1	0	1
A18327	0	0	1	1
A18328	1	0	1	0
A18329	0	1	1	1
A18330	1	0	0	1
A18331	0	1	1	1
A18334	0	1	1	1
A18335	0	0	1	1
A18336	0	1	1	1
A18337	1	0	1	1
A18339	0	0	1	1
A18340	1	0	1	0
A18341	0	0	1	1
A18343	1	0	1	1
A18344	1	0	1	0
